city_tier,month_of_year,hour_of_day,day_of_week,is_monsoon,is_heat_season,rainfall_score,aqi_score,heat_score,order_drop_score,social_score,prev_rainfall,prev_aqi,prev_heat,hist_avg_rainfall,hist_avg_aqi,current_dcs,prev_dcs,hist_avg_dcs,dcs_trend,forecast_dcs,disruption_probability
Tier 3,12,18,4,0,0,0.3907,0.532,0.3946,0.4272,0.2673,0.4773,0.5345,0.4167,0.48,0.52,53,52,49,1,47,0.484
Tier 2,2,18,0,0,0,0.2826,0.3327,0.4687,0.3289,0.0558,0.3342,0.3707,0.4059,0.33,0.42,38,36,36,2,38,0.153
Tier 4,3,7,2,0,0,0.5141,0.2388,0.5484,0.337,0.1879,0.5055,0.3203,0.5317,0.52,0.28,52,48,49,4,57,0.498
Tier 4,3,5,1,0,0,0.6539,0.2589,0.4973,0.3596,0.3238,0.5867,0.2699,0.5808,0.52,0.28,54,53,49,1,58,0.586
Tier 1,2,10,6,0,0,0.3598,0.4596,0.3696,0.0939,0.0134,0.3405,0.5172,0.3724,0.28,0.48,33,34,32,-1,34,0.147
Tier 1,9,15,5,1,0,0.5213,0.4301,0.439,0.132,0.0471,0.5433,0.4333,0.4521,0.322,0.552,49,55,46,-6,64,0.272
Tier 3,2,9,2,0,0,0.5615,0.4883,0.505,0.2918,0.2477,0.6079,0.496,0.4443,0.48,0.52,58,55,49,3,62,0.672
Tier 2,2,7,0,0,0,0.2393,0.4833,0.2917,0.2067,0.1547,0.2809,0.4876,0.3171,0.33,0.42,36,35,36,1,34,0.174
Tier 4,2,9,2,0,0,0.4188,0.2339,0.5347,0.3351,0.2107,0.4059,0.1994,0.515,0.52,0.28,48,41,49,7,47,0.235
Tier 3,10,19,0,0,0,0.4182,0.4361,0.6358,0.2122,0.1489,0.4389,0.4505,0.6567,0.48,0.52,52,48,49,4,50,0.531
Tier 1,3,12,6,0,0,0.2947,0.5433,0.3187,0.1791,0.1641,0.3332,0.6067,0.2484,0.28,0.48,35,37,32,-2,30,0.183
Tier 1,2,15,0,0,0,0.3431,0.4303,0.3466,0.2323,0.0357,0.3374,0.4423,0.3147,0.28,0.48,33,35,32,-2,33,0.184
Tier 3,9,9,1,1,0,0.6283,0.5591,0.4298,0.1834,0.158,0.6732,0.5854,0.4298,0.552,0.598,72,68,71,4,83,0.868
Tier 4,3,10,2,0,0,0.4991,0.2671,0.4389,0.2997,0.2446,0.4995,0.2547,0.4025,0.52,0.28,45,44,49,1,43,0.21
