claim_type,month_of_year,dcs_at_claim,gps_zone_mismatch,gps_jump_detected,gps_accuracy_low,vpn_detected,weather_claim_consistency,historical_dcs_deviation,claim_timing_anomaly,payout_frequency_score,duplicate_event_attempt,platform_inactivity_hours,unusual_claim_amount,gps_risk_score,weather_risk_score,behavioral_risk_score,fraud_score,risk_band,decision
clean,4,55,0,0,0,1,0.918,0.038,0,0.75,0,0.78,0,3,2,0,5,low,pass
suspicious,6,78,0,1,1,0,0.749,0.303,1,2.778,1,1.76,0,17,15,13,45,medium,review
clean,2,73,0,0,0,0,0.826,0.043,0,0.819,0,1.07,0,0,3,0,3,low,pass
clean,6,68,0,0,0,0,0.846,0.086,0,0.787,0,0.41,0,0,3,0,3,low,pass
clean,5,72,0,0,0,0,0.785,0.107,0,0.893,0,0.36,0,0,4,0,4,low,pass
suspicious,5,76,0,1,1,0,0.468,0.398,1,1.935,0,2.76,0,17,21,2,40,medium,review
clean,2,71,0,0,0,0,0.814,0.0,0,1.072,0,0.0,0,0,4,0,4,low,pass
fraudulent,1,64,1,0,0,0,0.023,0.834,1,3.313,0,4.0,1,20,35,14,69,high,fail
clean,2,63,0,0,0,0,0.957,0.068,0,1.143,0,0.23,0,0,1,0,1,low,pass
suspicious,10,80,1,1,1,0,0.303,0.348,0,1.696,0,3.4,1,37,19,4,60,high,fail
clean,12,72,0,0,0,0,0.904,0.146,0,0.838,0,0.91,0,0,2,0,2,low,pass
clean,11,64,0,0,0,0,0.776,0.107,0,0.872,0,1.09,0,0,4,0,4,low,pass
clean,7,67,0,0,0,0,0.947,0.102,0,0.94,0,0.96,0,0,1,0,1,low,pass
clean,10,55,0,0,0,0,0.79,0.0,0,0.706,0,0.38,0,0,4,0,4,low,pass
clean,9,68,0,0,0,0,0.959,0.152,0,0.891,0,0.64,0,0,1,0,1,low,pass
clean,2,65,0,0,0,0,0.793,0.204,0,1.143,0,0.52,0,0,4,0,4,low,pass
clean,11,80,0,0,1,0,0.844,0.135,0,0.889,0,0.0,0,5,3,0,8,low,pass
fraudulent,11,71,1,1,1,0,0.353,0.875,1,4.498,0,5.87,0,37,28,15,80,high,fail
clean,8,82,0,0,0,0,0.851,0.0,0,0.679,0,1.03,0,0,3,0,3,low,pass
fraudulent,9,74,1,1,1,0,0.252,0.5,1,3.538,1,4.0,0,37,25,20,82,high,fail
clean,2,77,0,0,0,0,0.788,0.092,0,1.22,0,0.74,0,0,4,0,4,low,pass
clean,7,83,0,0,0,0,0.826,0.087,0,0.74,0,0.83,0,0,3,0,3,low,pass
clean,11,73,0,0,0,0,0.947,0.033,0,0.556,0,0.4,0,0,1,0,1,low,pass
clean,4,78,0,0,1,0,0.834,0.113,0,0.565,0,0.29,0,5,3,0,8,low,pass
clean,5,85,0,0,0,1,0.843,0.061,0,1.072,0,1.06,0,3,3,0,6,low,pass
clean,12,55,0,0,0,0,0.807,0.144,0,0.829,0,0.22,0,0,4,0,4,low,pass
clean,11,80,0,0,0,0,0.793,0.138,0,0.772,0,0.37,0,0,4,0,4,low,pass
clean,9,86,0,0,0,0,0.758,0.132,0,0.992,0,0.94,0,0,5,0,5,low,pass
clean,7,76,0,0,0,0,0.898,0.121,0,1.017,0,0.42,0,0,2,0,2,low,pass
clean,8,95,0,0,0,0,0.859,0.147,1,0.736,0,1.01,0,0,8,0,8,low,pass
clean,1,80,0,0,0,0,0.901,0.201,0,0.665,0,0.15,0,0,2,0,2,low,pass
clean,7,68,0,0,0,0,0.88,0.106,0,0.809,0,0.12,0,0,2,0,2,low,pass
suspicious,1,70,0,0,0,1,0.51,0.402,0,1.646,0,2.59,0,3,15,2,20,low,pass
suspicious,5,81,1,0,1,1,0.607,0.459,0,2.157,1,2.2,1,28,13,17,58,medium,review
fraudulent,8,77,1,0,1,0,0.212,0.669,1,3.028,0,5.82,1,25,31,17,73,high,fail
suspicious,12,58,1,0,0,0,0.462,0.382,1,1.933,0,2.45,0,20,21,2,43,medium,review
suspicious,4,83,1,0,0,0,0.523,0.444,0,2.346,0,5.0,0,20,15,10,45,medium,review
suspicious,9,94,1,0,0,1,0.36,0.471,1,2.261,0,1.61,0,23,23,5,51,medium,review
suspicious,7,83,1,0,1,0,0.493,0.229,0,2.341,0,2.7,0,25,10,7,42,medium,review
clean,5,73,0,0,0,0,0.795,0.047,0,1.103,0,0.45,0,0,4,0,4,low,pass
clean,10,66,0,0,0,0,0.867,0.109,0,0.922,0,0.4,0,0,3,0,3,low,pass
clean,1,82,0,0,0,0,0.971,0.212,0,1.19,0,0.51,0,0,1,0,1,low,pass
clean,4,68,0,0,0,1,0.846,0.155,0,0.748,0,1.01,0,3,3,0,6,low,pass
clean,3,62,0,0,0,0,0.913,0.086,0,0.956,0,0.69,0,0,2,0,2,low,pass
clean,12,57,0,0,0,0,0.816,0.152,0,1.155,0,0.42,0,0,4,0,4,low,pass
clean,4,78,0,0,0,0,0.812,0.095,0,0.669,0,0.0,1,0,4,2,6,low,pass
suspicious,10,68,1,0,0,0,0.485,0.284,1,3.185,0,2.54,1,20,15,14,49,medium,review
suspicious,2,57,0,0,0,0,0.618,0.317,0,3.191,1,2.81,0,0,13,20,33,medium,review
clean,9,70,0,0,0,0,0.751,0.134,1,0.952,0,0.86,0,0,10,0,10,low,pass
