city,city_tier,platform_type,month_of_year,shield_score,daily_earnings,weekly_earnings,renewal_count,historical_payout_count,claim_frequency,flood_risk_score,aqi_risk_score,heat_risk_score,rainfall_risk_score,traffic_disruption_risk,social_disruption_risk,historical_disruption_freq,is_monsoon,is_heat_season,is_holiday_period,weekly_premium
Chennai,Tier 1,Delivery Partner,12,77,986.0,5916.0,8,3,0.375,0.35,0.439,0.289,0.321,0.533,0.24,0.262,0,0,1,82
Ahmedabad,Tier 2,Grocery Rider,12,66,545.0,3270.0,3,8,2.667,0.296,0.426,0.431,0.31,0.246,0.245,0.092,0,0,1,57
Bangalore,Tier 1,Domestic Worker,7,61,765.0,4590.0,1,0,0.0,0.396,0.45,0.379,0.416,0.123,0.243,0.101,1,0,0,89
Bangalore,Tier 1,Grocery Rider,4,64,947.0,5682.0,16,0,0.0,0.31,0.431,0.374,0.282,0.555,0.104,0.249,0,1,0,94
Muzaffarpur,Tier 4,Grocery Rider,12,74,837.0,5022.0,20,8,0.4,0.496,0.442,0.644,0.54,0.547,0.239,0.327,0,0,1,49
Indore,Tier 3,Grocery Rider,8,70,711.0,4266.0,18,4,0.222,0.468,0.657,0.489,0.449,0.371,0.056,0.291,1,0,0,72
Mumbai,Tier 1,Grocery Rider,12,63,404.0,2424.0,13,5,0.385,0.404,0.577,0.432,0.441,0.137,0.143,0.085,0,0,1,76
Jaipur,Tier 2,Grocery Rider,4,75,665.0,3990.0,24,5,0.208,0.266,0.428,0.381,0.312,0.419,0.355,0.192,0,1,0,72
Chennai,Tier 1,Delivery Partner,7,76,1009.0,6054.0,3,5,1.667,0.34,0.593,0.373,0.358,0.314,0.01,0.082,1,0,0,100
Nagpur,Tier 2,Domestic Worker,5,73,651.0,3906.0,1,7,7.0,0.377,0.577,0.362,0.38,0.478,0.092,0.073,0,1,0,77
Muzaffarpur,Tier 4,Delivery Partner,7,62,1144.0,6864.0,2,8,4.0,0.652,0.358,0.668,0.667,0.193,0.357,0.212,1,0,0,69
Lucknow,Tier 2,Construction Worker,10,63,582.0,3492.0,11,3,0.273,0.357,0.555,0.515,0.322,0.355,0.167,0.117,0,0,1,67
Bangalore,Tier 1,Delivery Partner,11,67,1154.0,6924.0,7,4,0.571,0.281,0.53,0.426,0.289,0.586,0.385,0.126,0,0,1,99
Bangalore,Tier 1,Grocery Rider,2,48,628.0,3768.0,12,4,0.333,0.209,0.552,0.376,0.193,0.239,0.363,0.122,0,0,0,73
Coimbatore,Tier 3,Construction Worker,6,71,1189.0,7134.0,5,5,1.0,0.461,0.618,0.59,0.439,0.464,0.147,0.24,1,1,0,84
Nagpur,Tier 2,Grocery Rider,11,79,472.0,2832.0,8,1,0.125,0.459,0.43,0.347,0.417,0.395,0.271,0.055,0,0,1,67
Bareilly,Tier 4,Construction Worker,3,53,916.0,5496.0,17,3,0.176,0.494,0.373,0.547,0.538,0.169,0.136,0.084,0,0,0,49
Kolkata,Tier 1,Gig Driver,7,81,1054.0,6324.0,8,8,1.0,0.339,0.532,0.31,0.314,0.549,0.36,0.24,1,0,0,111
Ahmedabad,Tier 2,Construction Worker,6,57,981.0,5886.0,24,0,0.0,0.474,0.572,0.495,0.491,0.142,0.065,0.32,1,1,0,91
Ahmedabad,Tier 2,Delivery Partner,6,75,404.0,2424.0,12,4,0.333,0.29,0.487,0.473,0.326,0.212,0.285,0.121,1,1,0,68
Bangalore,Tier 1,Grocery Rider,10,85,920.0,5520.0,22,5,0.227,0.412,0.564,0.392,0.38,0.284,0.106,0.123,0,0,1,82
Pune,Tier 2,Construction Worker,8,71,1114.0,6684.0,12,7,0.583,0.408,0.549,0.426,0.425,0.346,0.078,0.267,1,0,0,96
Hyderabad,Tier 1,Last-Mile Logistics,3,59,1152.0,6912.0,7,8,1.143,0.438,0.629,0.343,0.396,0.564,0.171,0.34,0,0,0,112
Muzaffarpur,Tier 4,Last-Mile Logistics,12,61,1081.0,6486.0,18,6,0.333,0.529,0.242,0.589,0.57,0.448,0.228,0.079,0,0,1,49
Gorakhpur,Tier 4,Gig Driver,6,72,1102.0,6612.0,7,2,0.286,0.635,0.374,0.626,0.607,0.247,0.324,0.293,1,1,0,66
Agra,Tier 3,Gig Driver,2,78,1039.0,6234.0,24,0,0.0,0.562,0.625,0.599,0.595,0.269,0.15,0.078,0,0,0,77
Chennai,Tier 1,Grocery Rider,11,66,772.0,4632.0,5,6,1.2,0.336,0.472,0.398,0.305,0.119,0.329,0.158,0,0,1,75
Bareilly,Tier 4,Delivery Partner,7,72,1016.0,6096.0,12,7,0.583,0.504,0.356,0.471,0.459,0.366,0.216,0.241,1,0,0,55
Agra,Tier 3,Last-Mile Logistics,9,47,1036.0,6216.0,0,1,1.0,0.468,0.56,0.42,0.424,0.581,0.334,0.259,1,0,0,85
Muzaffarpur,Tier 4,Last-Mile Logistics,11,57,525.0,3150.0,10,1,0.1,0.513,0.337,0.629,0.528,0.24,0.382,0.271,0,0,1,49
Lucknow,Tier 2,Gig Driver,3,97,736.0,4416.0,14,0,0.0,0.312,0.439,0.489,0.282,0.158,0.018,0.062,0,0,0,54
Jaipur,Tier 2,Domestic Worker,3,77,779.0,4674.0,16,1,0.062,0.274,0.473,0.418,0.264,0.317,0.159,0.235,0,0,0,59
Lucknow,Tier 2,Construction Worker,9,66,700.0,4200.0,19,3,0.158,0.406,0.476,0.514,0.431,0.181,0.028,0.243,1,0,0,79
Hyderabad,Tier 1,Last-Mile Logistics,3,72,1152.0,6912.0,17,8,0.471,0.344,0.497,0.411,0.355,0.373,0.377,0.166,0,0,0,94
Mumbai,Tier 1,Domestic Worker,6,75,457.0,2742.0,15,0,0.0,0.28,0.611,0.256,0.333,0.241,0.047,0.259,1,1,0,78
Chennai,Tier 1,Last-Mile Logistics,5,82,988.0,5928.0,7,0,0.0,0.401,0.471,0.294,0.436,0.503,0.396,0.174,0,1,0,104
Ahmedabad,Tier 2,Domestic Worker,2,87,673.0,4038.0,2,7,3.5,0.483,0.565,0.407,0.51,0.477,0.041,0.321,0,0,0,66
Bangalore,Tier 1,Domestic Worker,3,87,656.0,3936.0,4,7,1.75,0.424,0.497,0.253,0.472,0.146,0.128,0.335,0,0,0,64
Muzaffarpur,Tier 4,Grocery Rider,5,73,905.0,5430.0,16,6,0.375,0.562,0.273,0.532,0.573,0.476,0.317,0.287,0,1,0,58
Pune,Tier 2,Domestic Worker,12,71,446.0,2676.0,22,3,0.136,0.387,0.46,0.522,0.383,0.159,0.057,0.278,0,0,1,54
Lucknow,Tier 2,Gig Driver,11,62,467.0,2802.0,20,5,0.25,0.425,0.368,0.505,0.453,0.141,0.034,0.346,0,0,1,55
Coimbatore,Tier 3,Domestic Worker,8,54,1050.0,6300.0,3,3,1.0,0.637,0.697,0.588,0.611,0.142,0.311,0.218,1,0,0,90
Ahmedabad,Tier 2,Delivery Partner,6,82,489.0,2934.0,0,8,8.0,0.373,0.353,0.417,0.341,0.159,0.047,0.245,1,1,0,58
Ahmedabad,Tier 2,Domestic Worker,4,78,1170.0,7020.0,0,1,1.0,0.344,0.421,0.517,0.332,0.582,0.005,0.341,0,1,0,88
Delhi,Tier 1,Grocery Rider,2,74,459.0,2754.0,1,5,5.0,0.338,0.642,0.381,0.367,0.448,0.182,0.238,0,0,0,83
Bangalore,Tier 1,Domestic Worker,4,82,436.0,2616.0,8,7,0.875,0.27,0.638,0.473,0.289,0.41,0.111,0.106,0,1,0,88
